,bin,time(ms),no update & correct,update & correct,
209154863,1,0,3.7162,3.6856,
209154863,2,25,3.7099,3.6854,
209154863,3,50,3.7133,3.6837,
209154863,4,76,3.6977,3.6711,
209154863,5,101,3.6962,3.6777,
209154863,6,126,3.6953,3.6745,
209154863,7,151,3.6861,3.6739,
209154863,8,176,3.6874,3.669,
209154863,9,202,3.6881,3.6678,
209154863,10,227,3.6834,3.6632,
209154863,11,252,3.6804,3.661,
209154863,12,277,3.6808,3.6644,
209154863,13,302,3.6785,3.6651,
209154863,14,327,3.6776,3.6668,
209154863,15,353,3.6802,3.6689,
209154863,16,378,3.6729,3.661,
209154863,17,403,3.6746,3.663,
209154863,18,428,3.669,3.6597,
209154863,19,453,3.6668,3.6669,
209154863,20,479,3.6671,3.6635,
209154863,21,504,3.6666,3.6671,
209154863,22,529,3.6735,3.6585,
209154863,23,554,3.6631,3.673,
209154863,24,579,3.663,3.6679,
209154863,25,605,3.6657,3.6647,
209154863,26,630,3.668,3.6774,
209154863,27,655,3.6678,3.681,
209154863,28,680,3.6593,3.6816,
209154863,29,705,3.6688,3.6814,
209154863,30,730,3.6696,3.6813,
209154863,31,756,3.6608,3.6898,
209154863,32,781,3.6757,3.6836,
209154863,33,806,3.6654,3.6873,
209154863,34,831,3.671,3.6921,
209154863,35,856,3.6797,3.6977,
209154863,36,882,3.6748,3.696,
209154863,37,907,3.6823,3.701,
209154863,38,932,3.6833,3.7008,
209154863,39,957,3.6845,3.7024,
209154863,40,982,3.6799,3.7144,
209154863,41,1008,3.6782,3.7146,
209154863,42,1033,3.6884,3.7237,
209154863,43,1058,3.7025,3.7195,
209154863,44,1083,3.7022,3.7274,
209154863,45,1108,3.702,3.7294,
209154863,46,1134,3.7082,3.7396,
209154863,47,1159,3.7186,3.7293,
209154863,48,1184,3.7129,3.7401,
209154863,49,1209,3.7146,3.7476,
209154863,50,1234,3.7201,3.7498,
209154863,51,1259,3.7193,3.7509,
209154863,52,1285,3.7305,3.7553,
209154863,53,1310,3.7307,3.7565,
209154863,54,1335,3.7279,3.763,
209154863,55,1360,3.7287,3.7736,
209154863,56,1385,3.7358,3.774,
209154863,57,1411,3.7354,3.78,
209154863,58,1436,3.7366,3.7769,
209154863,59,1461,3.7377,3.7815,
209154863,60,1486,3.7343,3.7799,
209154863,61,1511,3.7313,3.7704,
209154863,62,1537,3.7276,3.7707,
209154863,63,1562,3.7217,3.7654,
209154863,64,1587,3.7215,3.7594,
209154863,65,1612,3.7088,3.7508,
209154863,66,1637,3.7038,3.7454,
209154863,67,1663,3.6946,3.7402,
209154863,68,1688,3.6828,3.7401,
209154863,69,1713,3.6816,3.7289,
209154863,70,1738,3.6819,3.7376,
209154863,71,1763,3.6798,3.728,
209154863,72,1788,3.6704,3.7202,
209154863,73,1814,3.673,3.7217,
209154863,74,1839,3.6723,3.7232,
209154863,75,1864,3.6559,3.7175,
209154863,76,1889,3.6665,3.7234,
209154863,77,1914,3.6778,3.7225,
209154863,78,1940,3.667,3.7185,
209154863,79,1965,3.6808,3.7291,
209154863,80,1990,3.6763,3.7263,
209154863,81,2015,3.6737,3.7343,
209154863,82,2040,3.6699,3.7255,
209154863,83,2066,3.675,3.7288,
209154863,84,2091,3.6701,3.7212,
209154863,85,2116,3.6729,3.7182,
209154863,86,2141,3.6755,3.73,
209154863,87,2166,3.6721,3.7343,
209154863,88,2191,3.6728,3.7237,
209154863,89,2217,3.6738,3.7232,
209154863,90,2242,3.6755,3.722,
209154863,91,2267,3.6642,3.7206,
209154863,92,2292,3.657,3.7197,
209154863,93,2317,3.6641,3.7198,
209154863,94,2343,3.6571,3.7134,
209154863,95,2368,3.6608,3.7154,
209154863,96,2393,3.661,3.7066,
209154863,97,2418,3.671,3.7132,
209154863,98,2443,3.6691,3.7074,
209154863,99,2469,3.6647,3.705,
209154863,100,2494,3.6575,3.7077,
209154863,101,2519,3.6722,3.7148,
209154863,102,2544,3.6607,3.7079,
209154863,103,2569,3.6582,3.7034,
209154863,104,2595,3.6613,3.7015,
209154863,105,2620,3.666,3.7044,
209154863,106,2645,3.6614,3.7045,
209154863,107,2670,3.6713,3.7028,
209154863,108,2695,3.6705,3.7089,
209154863,109,2720,3.667,3.7009,
209154863,110,2746,3.6634,3.7083,
209154863,111,2771,3.6749,3.707,
209154863,112,2796,3.6786,3.7095,
209154863,113,2821,3.6828,3.7048,
209154863,114,2846,3.6875,3.7183,
209154863,115,2872,3.6862,3.7114,
209154863,116,2897,3.6881,3.7128,
209154863,117,2922,3.6936,3.7138,
209154863,118,2947,3.6881,3.7117,
209154863,119,2972,3.6909,3.7152,
209154863,120,2998,3.6896,3.7143,
209154863,121,3023,3.7037,3.7168,
209154863,122,3048,3.6918,3.718,
209154863,123,3073,3.6982,3.7207,
209154863,124,3098,3.6996,3.7294,
209154863,125,3123,3.7011,3.7276,
209154863,126,3149,3.7096,3.7348,
209154863,127,3174,3.7197,3.7318,
209154863,128,3199,3.7198,3.7354,
209154863,129,3224,3.7198,3.7374,
209154863,130,3249,3.7114,3.7372,
209154863,131,3275,3.7372,
209154863,132,3300,3.7459,
209154863,133,3325,3.7438,
324124114,1,0,3.2072,3.2124,
324124114,2,25,3.1961,3.2196,
324124114,3,51,3.203,3.2065,
324124114,4,76,3.2012,3.21,
324124114,5,101,3.1962,3.2135,
324124114,6,126,3.1987,3.2158,
324124114,7,152,3.2061,3.2292,
324124114,8,177,3.1914,3.2211,
324124114,9,202,3.2033,3.232,
324124114,10,227,3.2092,3.226,
324124114,11,253,3.2127,3.2249,
324124114,12,278,3.2227,3.2243,
324124114,13,303,3.2183,3.2324,
324124114,14,328,3.2175,3.2343,
324124114,15,354,3.2203,3.2312,
324124114,16,379,3.2317,3.2362,
324124114,17,404,3.2344,3.2382,
324124114,18,429,3.2349,3.2382,
324124114,19,455,3.2333,3.2367,
324124114,20,480,3.2333,3.2409,
324124114,21,505,3.2397,3.2382,
324124114,22,531,3.2375,3.2464,
324124114,23,556,3.2319,3.245,
324124114,24,581,3.2518,3.2456,
324124114,25,606,3.2507,3.2494,
324124114,26,632,3.2496,3.2426,
324124114,27,657,3.2533,3.2408,
324124114,28,682,3.2578,3.2424,
324124114,29,707,3.2473,3.2532,
324124114,30,733,3.2507,3.2388,
324124114,31,758,3.2572,3.2497,
324124114,32,783,3.2538,3.2523,
324124114,33,808,3.2572,3.2552,
324124114,34,834,3.2462,3.245,
324124114,35,859,3.2447,3.2509,
324124114,36,884,3.2504,3.2323,
324124114,37,909,3.2358,3.2561,
324124114,38,935,3.2423,3.2422,
324124114,39,960,3.2368,3.2373,
324124114,40,985,3.2457,3.2411,
324124114,41,1011,3.2354,3.2348,
324124114,42,1036,3.234,3.2323,
324124114,43,1061,3.2326,3.2353,
324124114,44,1086,3.2395,3.2339,
324124114,45,1112,3.2426,3.2369,
324124114,46,1137,3.2474,3.2342,
324124114,47,1162,3.2425,3.2351,
324124114,48,1187,3.2426,3.2285,
324124114,49,1213,3.242,3.2218,
324124114,50,1238,3.2477,3.218,
324124114,51,1263,3.2416,3.2192,
324124114,52,1288,3.2433,3.2103,
324124114,53,1314,3.2402,3.2077,
324124114,54,1339,3.2343,3.2103,
324124114,55,1364,3.237,3.1974,
324124114,56,1389,3.2434,3.2007,
324124114,57,1415,3.2411,3.1943,
324124114,58,1440,3.2473,3.2053,
324124114,59,1465,3.2393,3.1876,
324124114,60,1491,3.2353,3.1903,
324124114,61,1516,3.235,3.1791,
324124114,62,1541,3.2222,3.1792,
324124114,63,1566,3.2244,3.1738,
324124114,64,1592,3.2269,3.1764,
324124114,65,1617,3.224,3.1822,
324124114,66,1642,3.2174,3.1688,
324124114,67,1667,3.2139,3.1819,
324124114,68,1693,3.2103,3.1705,
324124114,69,1718,3.209,3.1731,
324124114,70,1743,3.2139,3.1674,
324124114,71,1768,3.2115,3.1633,
324124114,72,1794,3.2218,3.1781,
324124114,73,1819,3.2216,3.1895,
324124114,74,1844,3.2282,3.1937,
324124114,75,1869,3.2189,3.1896,
324124114,76,1895,3.2102,3.1877,
324124114,77,1920,3.2241,3.1924,
324124114,78,1945,3.2174,3.1901,
324124114,79,1971,3.2133,3.1982,
324124114,80,1996,3.2242,3.1899,
324124114,81,2021,3.2131,3.197,
324124114,82,2046,3.2228,3.1926,
324124114,83,2072,3.2154,3.2067,
324124114,84,2097,3.2262,3.2142,
324124114,85,2122,3.2124,3.2007,
324124114,86,2147,3.2161,3.1905,
324124114,87,2173,3.2249,3.2074,
324124114,88,2198,3.2282,3.2012,
324124114,89,2223,3.2315,3.2049,
324124114,90,2248,3.2332,3.2016,
324124114,91,2274,3.229,3.2048,
324124114,92,2299,3.2304,3.2066,
324124114,93,2324,3.2356,3.2055,
324124114,94,2349,3.2381,3.2054,
324124114,95,2375,3.2138,
324124114,96,2400,3.2083,
