,bin,time(ms),no color change & no update & correct,no color change & update & correct,
209154863,1,0,3.7036,3.7074,
209154863,2,25,3.7153,3.7023,
209154863,3,50,3.7122,3.7058,
209154863,4,76,3.7013,3.6877,
209154863,5,101,3.6982,3.693,
209154863,6,126,3.7012,3.6975,
209154863,7,151,3.6853,3.6922,
209154863,8,176,3.7052,3.6901,
209154863,9,202,3.6895,3.6932,
209154863,10,227,3.6906,3.6902,
209154863,11,252,3.689,3.6831,
209154863,12,277,3.6899,3.6962,
209154863,13,302,3.6962,3.6944,
209154863,14,327,3.6913,3.6933,
209154863,15,353,3.7001,3.7027,
209154863,16,378,3.6944,3.6983,
209154863,17,403,3.6964,3.7045,
209154863,18,428,3.6951,3.6978,
209154863,19,453,3.6855,3.7029,
209154863,20,479,3.6861,3.6992,
209154863,21,504,3.6962,3.7125,
209154863,22,529,3.6919,3.7007,
209154863,23,554,3.6901,3.7092,
209154863,24,579,3.6899,3.7047,
209154863,25,605,3.6986,3.7021,
209154863,26,630,3.699,3.712,
209154863,27,655,3.699,3.7159,
209154863,28,680,3.6867,3.7131,
209154863,29,705,3.7112,3.7068,
209154863,30,730,3.7112,3.7069,
209154863,31,756,3.7012,3.7231,
209154863,32,781,3.6989,3.7123,
209154863,33,806,3.7031,3.7131,
209154863,34,831,3.7073,3.7176,
209154863,35,856,3.7163,3.7216,
209154863,36,882,3.7186,3.7241,
209154863,37,907,3.7278,3.7239,
209154863,38,932,3.7303,3.7279,
209154863,39,957,3.7254,3.7254,
209154863,40,982,3.7197,3.7406,
209154863,41,1008,3.7257,3.7367,
209154863,42,1033,3.742,3.7446,
209154863,43,1058,3.7416,3.7411,
209154863,44,1083,3.7366,3.7519,
209154863,45,1108,3.7413,3.7501,
209154863,46,1134,3.756,3.7635,
209154863,47,1159,3.7604,3.7506,
209154863,48,1184,3.7524,3.7572,
209154863,49,1209,3.768,3.7692,
209154863,50,1234,3.7692,3.7732,
209154863,51,1259,3.7781,3.7683,
209154863,52,1285,3.7867,3.7709,
209154863,53,1310,3.7864,3.7721,
209154863,54,1335,3.7834,3.7793,
209154863,55,1360,3.7862,3.7866,
209154863,56,1385,3.7894,3.7867,
209154863,57,1411,3.7942,3.7961,
209154863,58,1436,3.7841,3.7957,
209154863,59,1461,3.7832,3.7995,
209154863,60,1486,3.7849,3.7972,
209154863,61,1511,3.787,3.7887,
209154863,62,1537,3.784,3.791,
209154863,63,1562,3.7731,3.786,
209154863,64,1587,3.7648,3.7818,
209154863,65,1612,3.7546,3.7771,
209154863,66,1637,3.7479,3.7767,
209154863,67,1663,3.7391,3.7705,
209154863,68,1688,3.7348,3.7669,
209154863,69,1713,3.7182,3.76,
209154863,70,1738,3.7242,3.7697,
209154863,71,1763,3.7165,3.7583,
209154863,72,1788,3.7075,3.7496,
209154863,73,1814,3.7085,3.7536,
209154863,74,1839,3.7137,3.7541,
209154863,75,1864,3.6996,3.744,
209154863,76,1889,3.707,3.7483,
209154863,77,1914,3.7172,3.7446,
209154863,78,1940,3.7011,3.7409,
209154863,79,1965,3.7059,3.7538,
209154863,80,1990,3.7122,3.7472,
209154863,81,2015,3.6917,3.7575,
209154863,82,2040,3.6851,3.7464,
209154863,83,2066,3.7056,3.753,
209154863,84,2091,3.6929,3.7419,
209154863,85,2116,3.6864,3.7382,
209154863,86,2141,3.6943,3.753,
209154863,87,2166,3.691,3.7574,
209154863,88,2191,3.6862,3.7481,
209154863,89,2217,3.6868,3.7524,
209154863,90,2242,3.6773,3.7503,
209154863,91,2267,3.6714,3.7527,
209154863,92,2292,3.6705,3.753,
209154863,93,2317,3.6709,3.7535,
209154863,94,2343,3.6632,3.7411,
209154863,95,2368,3.6581,3.7471,
209154863,96,2393,3.6728,3.7387,
209154863,97,2418,3.6876,3.7516,
209154863,98,2443,3.679,3.7459,
209154863,99,2469,3.6703,3.7424,
209154863,100,2494,3.6818,3.7425,
209154863,101,2519,3.6882,3.7528,
209154863,102,2544,3.6624,3.7421,
209154863,103,2569,3.6657,3.7362,
209154863,104,2595,3.6636,3.7356,
209154863,105,2620,3.6654,3.7386,
209154863,106,2645,3.661,3.7397,
209154863,107,2670,3.6711,3.7411,
209154863,108,2695,3.6706,3.7411,
209154863,109,2720,3.666,3.7348,
209154863,110,2746,3.6618,3.7431,
209154863,111,2771,3.6707,3.7411,
209154863,112,2796,3.6723,3.7442,
209154863,113,2821,3.6665,3.7363,
209154863,114,2846,3.6664,3.7487,
209154863,115,2872,3.6641,3.744,
209154863,116,2897,3.6623,3.7417,
209154863,117,2922,3.6716,3.7422,
209154863,118,2947,3.6629,3.7427,
209154863,119,2972,3.6579,3.7405,
209154863,120,2998,3.6498,3.7403,
209154863,121,3023,3.668,3.7489,
209154863,122,3048,3.652,3.7433,
209154863,123,3073,3.6475,3.7507,
209154863,124,3098,3.6592,3.7589,
209154863,125,3123,3.6589,3.7512,
209154863,126,3149,3.6572,3.7585,
209154863,127,3174,3.6606,3.7566,
209154863,128,3199,3.6639,3.76,
209154863,129,3224,3.6569,3.765,
209154863,130,3249,3.653,3.767,
209154863,131,3275,3.7609,
209154863,132,3300,3.768,
209154863,133,3325,3.7628,
324124114,1,0,3.2329,3.2149,
324124114,2,25,3.2406,3.2283,
324124114,3,51,3.2314,3.2086,
324124114,4,76,3.2286,3.2166,
324124114,5,101,3.2179,3.2183,
324124114,6,126,3.2294,3.2218,
324124114,7,152,3.2154,3.2388,
324124114,8,177,3.2104,3.2287,
324124114,9,202,3.2261,3.2361,
324124114,10,227,3.2296,3.2264,
324124114,11,253,3.2306,3.2346,
324124114,12,278,3.2461,3.2367,
324124114,13,303,3.2415,3.2506,
324124114,14,328,3.2424,3.2427,
324124114,15,354,3.2368,3.2449,
324124114,16,379,3.2583,3.2522,
324124114,17,404,3.259,3.2513,
324124114,18,430,3.2641,3.2531,
324124114,19,455,3.2449,3.2504,
324124114,20,480,3.2596,3.254,
324124114,21,505,3.2725,3.2554,
324124114,22,531,3.2757,3.2642,
324124114,23,556,3.2719,3.2646,
324124114,24,581,3.2798,3.2622,
324124114,25,606,3.2853,3.2642,
324124114,26,632,3.2783,3.2604,
324124114,27,657,3.2792,3.2619,
324124114,28,682,3.2955,3.2621,
324124114,29,707,3.2652,3.2702,
324124114,30,733,3.2782,3.2462,
324124114,31,758,3.2832,3.2646,
324124114,32,783,3.274,3.2649,
324124114,33,809,3.279,3.2651,
324124114,34,834,3.2471,3.2575,
324124114,35,859,3.2452,3.2579,
324124114,36,884,3.2356,3.2411,
324124114,37,910,3.2313,3.2545,
324124114,38,935,3.2351,3.2417,
324124114,39,960,3.2404,3.2408,
324124114,40,985,3.2404,3.2442,
324124114,41,1011,3.2353,3.2407,
324124114,42,1036,3.2271,3.236,
324124114,43,1061,3.2289,3.2439,
324124114,44,1086,3.2529,3.2353,
324124114,45,1112,3.2418,3.2352,
324124114,46,1137,3.2471,3.2363,
324124114,47,1162,3.2382,3.2322,
324124114,48,1188,3.2356,3.2236,
324124114,49,1213,3.2332,3.22,
324124114,50,1238,3.233,3.222,
324124114,51,1263,3.224,3.2207,
324124114,52,1289,3.2183,3.2075,
324124114,53,1314,3.2049,3.2052,
324124114,54,1339,3.2006,3.2122,
324124114,55,1364,3.209,3.1878,
324124114,56,1390,3.2274,3.1903,
324124114,57,1415,3.2284,3.1891,
324124114,58,1440,3.2219,3.2024,
324124114,59,1465,3.2142,3.1887,
324124114,60,1491,3.1962,3.187,
324124114,61,1516,3.197,3.1851,
324124114,62,1541,3.2084,3.1764,
324124114,63,1566,3.2113,3.1704,
324124114,64,1592,3.2097,3.1737,
324124114,65,1617,3.2176,3.1776,
324124114,66,1642,3.2058,3.1551,
324124114,67,1668,3.1977,3.1747,
324124114,68,1693,3.2009,3.1651,
324124114,69,1718,3.2117,3.1656,
324124114,70,1743,3.2167,3.1679,
324124114,71,1769,3.2197,3.17,
324124114,72,1794,3.2216,3.1847,
324124114,73,1819,3.218,3.1969,
324124114,74,1844,3.2412,3.2015,
324124114,75,1870,3.2289,3.1946,
324124114,76,1895,3.2195,3.1915,
324124114,77,1920,3.2309,3.1895,
324124114,78,1945,3.2229,3.1884,
324124114,79,1971,3.2062,3.1936,
324124114,80,1996,3.2225,3.1811,
324124114,81,2021,3.2099,3.1921,
324124114,82,2047,3.2053,3.1837,
324124114,83,2072,3.1982,3.2003,
324124114,84,2097,3.2332,3.2057,
324124114,85,2122,3.2325,3.1976,
324124114,86,2148,3.2288,3.1781,
324124114,87,2173,3.2136,3.1936,
324124114,88,2198,3.2049,3.1881,
324124114,89,2223,3.2222,3.1918,
324124114,90,2249,3.2159,3.1926,
324124114,91,2274,3.2263,3.1888,
324124114,92,2299,3.218,3.1963,
324124114,93,2324,3.2266,3.1943,
324124114,94,2350,3.1867,
324124114,95,2375,3.187,
